,time
0,0.325850340136
1,3.24648526077
2,6.08095238095
3,8.55714285714
4,11.0696145125
5,13.573015873
6,16.1217687075
7,18.6297052154
8,21.1512471655
9,23.6365079365
10,26.1399092971
11,28.5707482993
12,30.8972789116
13,33.3281179138
14,35.8814058957
15,38.2170068027
16,40.2925170068
17,42.7839002268
18,45.0832199546
19,47.441189379
20,49.90861678
21,52.1528143515
22,54.5979591837
23,57.0106575964
24,59.49138322
25,61.7385341233
26,64.0083900227
27,66.4936507937
28,68.9335600907
29,71.4006802721
30,73.7634920635
31,76.2941043084
32,78.7657596372
