,time
0,0.760997732426
1,6.5977324263
2,11.7088435374
3,17.3278911565
4,23.2507936508
5,28.9424036281
6,34.5523809524
7,39.6544217687
8,45.1555555556
9,50.4616780045
10,56.8290249433
11,62.3800453515
12,67.7904761905
13,73.7950113379
14,80.4843537415
15,87.9673469388
16,94.7383219955
17,100.307482993
18,107.763265306
19,115.082993197
20,122.076190476
21,128.307482993
22,133.046712018
23,137.899319728
24,143.336961451
25,148.779138322
26,154.801814059
27,160.937868481
28,167.554648526
29,173.400453515
30,179.463945578
31,184.488888889
32,188.887981859
33,193.813151927
34,198.865306122
35,203.876643991
36,208.420861678
37,213.622675737
38,218.416326531
39,224.107936508
40,230.076190476
41,235.541043084
42,240.683900227
43,245.010430839
44,249.840362812
45,254.284807256
46,260.207709751
47,265.250793651
48,270.185034014
49,275.713378685
50,280.797278912
51,284.797278912
52,289.953741497
53,295.522902494
54,300.502494331
55,305.010430839
56,309.976417234
57,314.597732426
58,318.425396825
