,time
0,0.0
1,1.33287616122
2,3.0134591471
3,4.57813985809
4,6.17179613781
5,7.47569673031
6,9.07054421769
7,10.43120474
8,11.995885451
9,13.3867127496
10,14.8934423232
11,16.3422207593
12,17.8097732426
13,19.2108020628
14,20.7031972789
15,22.2242612099
16,23.6150885085
17,25.1507936508
18,26.7154743618
19,28.3960573477
20,29.91861678
21,31.4384920635
22,32.9889115646
23,34.5388779168
24,36.1325341965
25,37.6963945578
26,39.2618956185
27,40.8845274669
28,42.4492081779
29,44.0319954649
30,45.5785695999
31,47.1142747422
32,48.8238332968
33,50.359538439
34,51.9548979592
35,53.5468509985
36,55.1115317095
37,56.8075056689
