,time
0,1.14648526077
1,5.91746031746
2,11.4684807256
3,16.2712018141
4,21.8585034014
5,27.2780045351
6,32.6839002268
7,38.0807256236
8,43.4049886621
9,49.0920634921
10,54.8199546485
11,60.443537415
12,66.085260771
13,71.7360544218
14,77.4594104308
15,83.1600907029
16,88.987755102
17,94.7972789116
18,100.588662132
19,106.257596372
20,111.958276644
21,117.595464853
22,123.282539683
23,128.942403628
24,134.470748299
25,140.12154195
26,145.237188209
27,150.85170068
28,156.416326531
29,162.062585034
30,167.223582766
