,time
0,0.090022675737
1,3.06054421769
2,5.00087777046
3,6.77202198084
4,8.23061133055
5,9.99931972789
6,11.7728997513
7,13.5440439617
8,15.2630956953
9,17.0342399056
10,18.7532916392
11,20.5244358496
12,22.5027210884
13,24.379279131
14,26.9839029698
15,28.8592321337
16,30.7345612976
17,32.7140754151
18,34.5934240363
19,37.1285714286
20,38.9130801514
21,40.5800394082
22,42.0907212347
23,43.8097729683
24,45.5231292517
25,47.1957839587
26,48.8627432156
27,51.2589971472
28,52.7696789737
29,54.4366382306
30,56.1535147392
31,57.9789266513
32,59.5937934314
33,61.3649376417
34,62.8927437642
35,64.542578725
36,66.1574455051
37,67.7181405896
38,69.2829941116
39,70.8978608917
40,72.7657596372
41,74.4401493124
42,76.0550160925
43,77.7544217687
44,79.4931195597
45,81.1512471655
46,82.7749455965
47,84.285627423
48,86.0046791566
49,87.5594104308
50,89.2865051935
51,90.6795918367
52,92.1515914161
53,93.818550673
54,95.2771400227
55,96.8247165533
56,98.3505961524
57,99.8632653061
58,101.319867329
59,102.726364202
