,time
0,0.997052154195
1,2.31048691878
2,4.52051788457
3,6.42918099139
4,8.33784409821
5,10.146051252
6,11.8995464853
7,13.6620096067
8,15.2693048546
9,17.3788798674
10,19.3879989272
11,21.4188208617
12,23.0044132348
13,24.7121644357
14,26.1185477775
15,27.8262989784
16,29.7349620852
17,31.643625192
18,33.6501133787
19,35.3604954527
20,37.1687026065
21,38.7759978543
22,41.0696145125
23,42.593324068
24,44.3010752688
25,46.2804988662
26,47.8170336235
27,49.6252407773
28,51.2325360252
29,53.241655085
30,55.1240362812
31,56.8580693926
32,58.5658205935
33,60.5749396533
34,62.6342403628
35,64.0908980079
36,66.5018408797
37,68.4105039865
38,70.1580498866
39,72.4287421062
40,74.1943310658
41,76.1456123668
42,78.6115646259
43,80.2643064394
44,82.2734254992
45,84.0816326531
46,85.7453514739
47,87.2962231488
48,89.1603174603
49,91.3144612684
50,92.901814059
51,94.4285958111
52,96.6206349206
53,98.9925170068
54,101.278231293
55,102.766439909
56,105.277838734
57,106.919954649
58,109.727210884
