,time
0,0.0263038548753
1,3.99002267574
2,7.74058956916
3,11.4321995465
4,15.0421768707
5,18.7111111111
6,22.2213151927
7,25.7360544218
8,29.3278911565
9,32.6158730159
10,35.9310657596
11,39.346031746
12,42.6158730159
13,45.9673469388
14,49.3233560091
15,52.6929705215
16,56.1124716553
17,59.5546485261
18,62.8471655329
19,66.2303854875
20,69.5047619048
21,72.8154195011
22,76.1986394558
23,79.5682539683
24,83.0557823129
25,86.398185941
26,89.6408163265
27,92.8108843537
28,95.9401360544
29,98.8879818594
30,102.021768707
31,105.169160998
