,time
0,0.98798185941
1,2.68177163338
2,4.76759401491
3,6.83832199546
4,8.46247937646
5,10.250327132
6,12.289569161
7,13.8856175684
8,15.9118450247
9,17.5639455782
10,19.1299709848
11,20.7390339648
12,22.4482993197
13,23.9571599249
14,25.6854127553
15,27.3734693878
16,29.3207031917
17,30.7509813961
18,32.6070294785
19,34.4458667577
20,36.2933094385
21,38.0215622689
22,39.6902201741
23,41.8814058957
24,43.6830801616
25,45.4709279172
26,47.1195011338
27,48.8678386528
28,50.6556864084
29,52.2051544632
30,53.8738123684
31,55.5412698413
32,56.9131535529
33,58.4626216078
34,60.1580498866
35,61.740342493
36,63.4551020408
37,64.8988735279
