,time
0,0.157823129252
1,3.72244897959
2,6.93333333333
3,10.5886621315
4,14.3392290249
5,17.9129251701
6,21.5546485261
7,25.0648526077
8,28.6022675737
9,31.9129251701
10,35.4548752834
11,38.8879818594
12,42.5206349206
13,46.6158730159
14,50.1124716553
15,53.4095238095
16,56.7201814059
17,60.1079365079
18,63.6498866213
19,67.1283446712
20,70.4390022676
21,74.0263038549
22,77.4321995465
23,81.0240362812
24,84.4752834467
25,88.0217687075
26,92.189569161
27,95.5047619048
28,98.7836734694
29,101.990022676
30,105.418594104
31,108.797278912
32,112.212244898
33,115.672562358
34,119.010430839
35,122.488888889
36,126.117006803
37,129.681632653
38,133.273469388
39,137.572789116
40,140.960544218
41,144.266666667
42,147.613605442
43,151.146485261
44,154.647619048
45,158.085260771
46,161.445804989
47,164.856235828
48,168.466213152
49,172.085260771
50,175.545578231
51,179.019501134
52,182.448072562
53,186.03537415
54,189.377777778
55,192.729251701
56,196.085260771
57,199.436734694
58,202.611337868
59,205.980952381
60,209.250793651
61,212.5569161
62,215.831292517
63,219.241723356
