,time
0,0.39387755102
1,2.3156397565
2,4.631279513
3,6.78151642975
4,8.84905192662
5,10.9992888434
6,13.3961451247
7,15.7132697762
8,17.7808052731
9,20.1761904762
10,22.4573696145
11,24.7612244898
12,26.7952600395
13,29.2102040816
14,31.5684807256
15,34.0265306122
16,36.3893424036
17,38.8156462585
18,41.019904258
19,43.2238095238
20,45.5276643991
21,47.636017848
22,49.9857142857
23,52.4392290249
24,54.9426303855
25,57.3145124717
26,59.3796194702
27,61.8723356009
28,64.3349206349
29,66.5746429994
30,68.9063492063
31,71.4732426304
32,74.1308390023
33,76.5027210884
34,79.0378684807
35,81.3825396825
36,84.080952381
37,86.6206349206
38,89.0287981859
39,91.4823129252
