,time
0,1.35056689342
1,3.99909297052
2,6.8380952381
3,9.57278911565
4,12.1714285714
5,14.652154195
6,17.3188208617
7,19.6272108844
8,22.4480725624
9,24.9786848073
10,28.0580498866
11,30.7065759637
12,34.2213151927
13,37.7632653061
14,40.3936507937
15,43.0739229025
16,46.3392290249
17,49.0829931973
18,51.6816326531
19,54.1714285714
20,56.4798185941
21,59.4412698413
22,61.8766439909
23,64.5206349206
24,67.2462585034
25,69.8993197279
26,72.4344671202
27,75.0285714286
28,77.3868480726
29,81.1782312925
30,83.2762096774
31,85.8902494331
32,88.420861678
33,91.5591836735
34,94.4843537415
35,97.4367346939
36,100.34829932
37,103.500226757
38,106.919727891
39,109.758730159
40,112.484353741
41,116.01723356
42,118.53877551
43,121.296145125
44,123.799546485
45,126.185034014
46,128.620408163
47,131.046712018
48,134.166893424
49,136.6430839
50,139.16462585
51,141.994557823
52,145.16462585
53,148.987755102
54,152.742857143
55,155.105668934
56,158.157823129
57,160.543310658
58,163.6
