,time
0,0.635530197742
1,2.39545997611
2,4.35759637188
3,5.96420647112
4,7.88140589569
5,9.679613781
6,11.4278911565
7,13.1994733377
8,15.0571769927
9,17.1603174603
10,18.9681320557
11,20.9236095872
12,22.901814059
13,24.8834515885
14,26.496720552
15,28.1099895155
16,29.953968254
17,31.7276229488
18,33.5364396655
19,35.4278911565
20,37.3985077902
21,39.2073245069
22,41.0832199546
23,43.0693926316
24,44.7804354717
25,46.6381391266
26,48.4469558433
27,50.2068856216
28,52.0628117914
29,53.7756321166
