,time
0,0.461904761905
1,3.5231292517
2,6.67052154195
3,10.0446712018
4,13.3235827664
5,16.4256235828
6,19.7634920635
7,22.9607709751
8,26.185260771
9,29.6954648526
10,33.1013605442
11,36.289569161
12,39.5185941043
13,42.7793650794
14,46.498185941
15,49.5412698413
16,53.0378684807
17,56.2986394558
18,59.8088435374
19,62.9970521542
20,66.3757369615
21,69.9675736961
22,73.1240362812
23,76.4210884354
24,79.7317460317
25,83.5412698413
26,86.6614512472
27,89.9902494331
28,93.5185941043
29,96.6342403628
30,99.7544217687
31,102.557142857
32,105.50952381
33,108.870068027
34,112.34399093
35,115.795238095
36,119.314512472
37,122.734013605
38,125.82244898
39,129.355328798
40,132.076417234
41,135.083219955
42,138.566213152
43,142.235147392
44,145.872335601
45,148.829251701
46,152.162585034
47,155.477777778
48,158.792970522
49,162.294104308
50,165.709070295
51,168.888208617
52,172.212471655
53,175.309977324
54,178.86553288
55,182.01292517
56,185.069614512
57,188.262358277
58,191.241950113
59,194.176190476
60,196.851927438
61,199.849659864
62,203.155782313
63,206.643310658
64,210.126303855
65,212.938095238
66,216.171655329
67,219.332653061
68,222.788435374
69,225.817913832
70,229.114965986
71,232.348526077
72,235.686394558
73,238.874603175
74,242.34399093
75,246.226077098
76,249.359863946
77,252.942630385
78,256.634240363
79,260.507256236
80,264.026530612
81,267.631972789
82,270.879138322
83,274.271428571
84,277.514058957
85,281.346258503
86,284.684126984
87,288.153514739
