,time
0,0.0
1,1.34172335601
2,2.58126691537
3,3.97769000073
4,5.41882086168
5,6.8551678736
6,8.16695925682
7,9.3941189379
8,10.7929705215
9,11.9753858533
10,13.3734693878
11,14.5989686197
12,15.9131519274
13,17.0956038329
14,18.5343427694
15,19.8038183015
16,21.284873089
17,22.5117913832
18,23.8661400044
19,25.1779313876
20,26.498185941
21,27.801514154
22,29.0709896862
23,30.3404652183
24,31.5676248994
25,32.7884353741
26,34.0642601126
27,35.2067880916
28,36.4339477727
29,37.7880550069
30,39.0151927438
31,40.3270060712
32,41.6637188209
33,42.9082729866
34,44.2578231293
35,45.5318557531
36,46.7590154341
