,time
0,0.0
1,2.13276278253
2,4.56145124717
3,6.6352619901
4,8.88651159388
5,11.3278911565
6,13.2705239802
7,15.49569161
8,17.9446712018
9,20.2712018141
10,22.6793650794
11,25.0784580499
12,26.8965084242
13,29.0292712067
14,31.8222222222
15,34.1850340136
16,36.5795918367
17,38.8636773706
18,41.3519006169
19,43.0739229025
20,44.7880184332
21,47.2009070295
22,49.5727891156
23,51.9764172336
24,54.316553288
25,56.7065759637
26,59.1238095238
27,61.4946602297
28,63.7459098335
29,65.6317460317
30,67.9718820862
31,70.3811718236
32,72.5659863946
33,74.2912369249
34,76.8653061224
35,78.9122229537
36,81.5274376417
37,83.6516958038
38,85.7088435374
39,87.9172213688
40,90.1684709726
41,91.8272864701
42,93.3676151464
43,95.6544217687
44,97.7516275327
45,99.6952380952
46,101.898666277
47,103.885714286
48,105.927218199
49,107.61814059
50,109.481822837
51,111.37324263
52,113.273401117
53,115.287677078
54,117.064979397
55,118.842281716
56,120.679365079
57,122.396886353
58,123.937215029
59,125.596030527
60,127.610306488
61,129.486621315
62,131.283397947
