,time
0,0.139682539683
1,3.65442176871
2,6.8925170068
3,10.0489795918
4,13.3233560091
5,16.8789115646
6,20.2394557823
7,23.6544217687
8,26.9696145125
9,30.4163265306
10,33.6498866213
11,36.9741496599
12,40.3482993197
13,43.5365079365
14,46.8517006803
15,50.2757369615
16,53.4458049887
17,56.7609977324
18,60.0217687075
19,63.473015873
20,66.8698412698
21,70.1986394558
22,73.49569161
23,76.6476190476
24,79.7723356009
25,82.9242630385
26,86.1442176871
27,89.3777777778
28,92.6204081633
29,95.9854875283
30,99.0195011338
31,102.13968254
32,105.191836735
33,108.334693878
