,time
0,0.0
1,1.20730825186
2,2.48004535147
3,3.83497915295
4,5.04228740481
5,6.32061378912
6,7.65011337868
7,8.94828469022
8,10.2260770975
9,11.5759555913
10,12.8609977324
11,14.2391355586
12,15.5529710092
13,16.7793650794
14,18.0741147116
15,19.3524410959
16,20.6070294785
17,21.980111997
18,23.2939474476
19,24.520861678
20,25.81509115
21,27.2709628654
22,28.584798316
23,29.9341428328
24,31.2238095238
25,32.5618137339
26,33.8723356009
27,35.2249937012
28,36.5888888889
29,37.959191801
30,39.2555555556
