,time
0,0.0
1,3.27823129252
2,5.47007046546
3,7.74081632653
4,10.2532879819
5,13.006122449
6,15.6909297052
7,18.2335682182
8,20.2986394558
9,22.1082014646
10,24.4573696145
11,26.7805533205
12,29.2283446712
13,32.0900226757
14,34.0739806078
15,36.4755102041
16,39.1376417234
17,40.7976088882
18,42.8488853128
19,45.4699607442
20,47.0653979632
21,49.2306341892
22,51.4233560091
23,53.3331870383
24,55.3844634628
25,57.2078202846
26,59.7544217687
27,61.5382927364
28,64.162585034
29,66.4385641951
30,68.7385487528
31,71.110916051
32,73.1621924756
33,75.2510204082
34,76.2391071124
35,78.5344671202
36,79.7718609547
37,82.729478458
38,84.1023334065
39,86.2034013605
40,87.9769666528
41,90.0174603175
42,91.6236802965
43,94.1307959265
44,95.7997732426
45,97.2077105633
46,99.2056689342
47,101.08234381
48,103.065079365
49,104.501137851
50,106.210534871
51,108.189795918
52,109.857248515
53,111.452685734
54,113.162082754
55,114.833786848
56,116.12503759
57,117.606515007
58,119.087992425
59,120.569469843
60,122.050947261
61,123.532424678
62,125.223809524
63,126.495379514
