,time
0,0.525170068027
1,6.67936507937
2,13.2099773243
3,19.7405895692
4,26.4163265306
5,32.1759637188
6,38.5115646259
7,44.5750566893
8,50.9287981859
9,57.4866213152
10,64.1396825397
11,70.4027210884
12,76.4390022676
13,82.629478458
14,89.1102040816
15,95.39138322
16,101.649886621
17,108.103401361
18,114.416326531
19,120.620408163
20,126.97414966
21,133.432199546
22,139.595464853
23,147.668027211
24,153.241723356
25,159.16462585
26,164.792743764
27,170.987755102
28,177.758730159
29,183.844897959
30,190.343764172
31,196.865306122
32,203.028571429
33,208.933333333
34,214.652154195
35,219.926530612
36,226.12154195
37,231.554648526
38,238.130612245
39,244.366439909
40,250.298412698
41,256.130612245
42,261.908390023
43,267.627210884
44,273.223582766
45,279.173696145
46,285.49569161
47,292.012698413
48,298.048979592
49,304.316553288
50,310.189569161
51,316.22585034
52,322.135147392
53,328.157823129
54,334.262131519
55,340.402721088
56,346.53877551
57,353.055782313
58,358.987755102
59,365.178231293
60,371.327891156
61,377.863038549
62,383.550113379
63,389.881179138
64,396.22585034
65,401.990022676
66,407.813151927
67,413.731519274
68,419.636281179
69,425.414058957
70,431.146485261
71,437.114739229
72,443.07845805
73,448.996825397
74,454.584126984
75,459.102656265
76,465.681632653
77,471.459410431
