,time
0,0.579818594104
1,4.57528344671
2,8.18526077098
3,11.6410430839
4,15.3553287982
5,19.0968253968
6,22.6659863946
7,26.1943310658
8,29.80430839
9,33.2963718821
10,36.8065759637
11,40.289569161
12,43.9040816327
13,47.4959183673
14,51.0922902494
15,54.7068027211
16,58.080952381
17,61.4596371882
18,65.6092970522
19,69.2192743764
20,72.670521542
21,76.1943310658
22,79.5594104308
23,83.1739229025
24,86.879138322
25,90.6659863946
26,94.1399092971
27,97.6092970522
28,101.346258503
29,104.910884354
30,108.421088435
31,112.271428571
32,116.570748299
33,120.076417234
34,123.672789116
35,127.355328798
36,131.300907029
37,135.940362812
38,139.713605442
