,time
0,1.53673469388
1,8.36666666667
2,14.3303854875
3,20.5299319728
4,26.6841269841
5,32.6024943311
6,39.0832199546
7,44.9653061224
8,50.7022675737
9,56.6795918367
10,62.7385487528
11,68.5798185941
12,74.5662131519
13,80.7929705215
14,86.5662131519
15,92.5707482993
16,97.90861678
17,103.05600907
18,108.280498866
19,113.232879819
20,118.194331066
21,123.881405896
22,129.573015873
23,134.910884354
24,140.285034014
25,145.799773243
26,150.965306122
27,156.616099773
28,161.636507937
29,167.16031746
30,172.389342404
31,177.459637188
32,182.543537415
33,187.133106576
34,192.003854875
35,196.815646259
36,201.695464853
37,206.053741497
38,210.498185941
39,214.779365079
