,time
0,1.05600907029
1,3.48684807256
2,6.06281179138
3,8.55714285714
4,11.1648526077
5,13.7
6,16.2124716553
7,18.7385487528
8,21.341723356
9,23.8904761905
10,26.3693625598
11,28.7022675737
12,31.2238095238
13,33.7272108844
14,35.8963580653
15,38.4845804989
16,41.0333333333
17,43.5095238095
18,45.953968254
19,48.4074829932
20,50.9063492063
21,53.2963718821
22,55.7159112151
23,57.6723477922
24,59.9675736961
25,62.4619047619
26,64.9970521542
27,67.5140589569
28,69.8768707483
29,72.3757369615
30,74.4296523866
31,76.9517006803
32,79.4959183673
33,81.9151488552
34,84.2079365079
35,86.5935841481
36,88.9743764172
37,91.4142857143
38,93.9857142857
