,time
0,0.556916099773
1,6.45714285714
2,13.0739229025
3,20.6204081633
4,27.4175142638
5,36.1714285714
6,43.8403628118
7,51.8857142857
8,58.7926239851
9,64.4504306561
10,71.6770975057
11,76.9378684807
12,84.1850340136
13,90.9287981859
14,97.5909297052
15,105.47755102
16,113.672562358
17,122.162358277
18,130.148752834
19,137.350566893
20,144.883446712
21,152.711111111
22,161.141950113
23,169.001360544
24,178.770068027
25,187.536507937
26,193.999092971
27,201.255328798
28,208.307482993
29,215.132879819
30,222.171428571
31,228.058049887
32,234.157823129
33,240.180498866
34,246.429931973
35,251.70430839
