,time
0,1.35056689342
1,5.97641723356
2,10.5342403628
3,14.8244897959
4,19.0557823129
5,23.2734693878
6,27.5954648526
7,32.0988662132
8,36.6929705215
9,41.1192743764
10,45.6952380952
11,50.085260771
12,54.4027210884
13,61.9446712018
14,66.6158730159
15,71.0693877551
16,75.8902494331
17,80.883446712
18,85.6498866213
19,90.2712018141
20,95.3732426304
21,100.697505669
22,105.89478458
23,110.352834467
24,115.350566893
25,120.153287982
26,125.572789116
27,130.561451247
28,134.97414966
29,140.012698413
30,144.484353741
31,148.615873016
32,153.37324263
33,158.842630385
34,163.527437642
35,168.067120181
36,172.960544218
37,177.28707483
38,182.937868481
39,186.570521542
40,190.370975057
41,195.255328798
42,200.003628118
43,204.611337868
44,209.677097506
45,214.153287982
46,219.672562358
47,224.13968254
48,229.400453515
49,233.79047619
50,238.33015873
51,243.677097506
52,248.22585034
53,253.119274376
54,257.609070295
55,262.466213152
56,267.336961451
57,272.461678005
58,277.39138322
