,time
0,1.1693877551
1,6.44829931973
2,12.5934240363
3,18.0945578231
4,24.3848072562
5,30.5752834467
6,37.0605442177
7,43.8768707483
8,50.5117913832
9,56.7249433107
10,62.8247165533
11,68.8836734694
12,75.1195011338
13,81.4732426304
14,87.5684807256
15,93.6954648526
16,100.484580499
17,107.033333333
18,113.482312925
19,119.845124717
20,127.024263039
21,133.813378685
22,140.416553288
23,146.888208617
24,152.647845805
25,159.57755102
26,165.500453515
27,172.266893424
28,178.802040816
29,185.686394558
30,192.697732426
31,199.078684807
32,206.01292517
33,212.339455782
34,218.684126984
35,224.770294785
36,231.065079365
37,238.080952381
38,245.042403628
