,time
0,1.26462585034
1,6.3485260771
2,11.7634920635
3,17.319047619
4,22.729478458
5,28.3349206349
6,33.8496598639
7,39.2918367347
8,44.7113378685
9,49.9403628118
10,55.3371882086
11,60.8156462585
12,65.9131519274
13,71.1376417234
14,76.1807256236
15,81.006122449
16,86.3394557823
17,91.6863945578
18,97.0696145125
19,102.416553288
20,107.468707483
21,112.774829932
22,118.180725624
23,123.663718821
24,128.806575964
25,134.529931973
26,139.504988662
27,144.770294785
28,149.976643991
29,154.974376417
30,160.257823129
31,164.090022676
