,time
0,1.04240362812
1,3.78616780045
2,7.05600907029
3,10.5616780045
4,14.1444444444
5,17.8088435374
6,21.6863945578
7,25.4551020408
8,29.3099773243
9,33.1058956916
10,36.9426303855
11,40.8065759637
12,44.8473922902
13,48.7929705215
14,52.8020408163
15,56.8746031746
16,60.9154195011
17,64.7975056689
18,68.729478458
19,72.7068027211
20,76.6433106576
21,80.6070294785
22,84.7158730159
23,89.0968253968
24,93.1784580499
25,97.2555555556
26,101.47324263
27,105.40521542
28,109.586621315
29,113.568480726
