,time
0,0.0
1,1.43459390925
2,3.03796357253
3,4.67505668934
4,6.3290907761
5,7.84807256236
6,9.55941043084
7,10.8860361349
8,12.8746031746
9,14.5147148465
10,16.4482993197
11,18.0590056811
12,19.7467632214
13,21.5866213152
14,23.4598298101
15,25.1475873504
16,27.0106575964
17,28.776266062
18,30.7171872333
19,32.4893326506
20,34.2986394558
21,35.8648477312
22,37.4682173945
23,39.2403628118
24,40.8156462585
25,42.2783263843
26,44.0504718016
27,45.9070050959
28,47.6791505133
29,49.4512959306
30,51.0546655938
31,52.6580352571
32,54.3757369615
33,55.9491624607
34,57.552532124
35,59.3246775413
36,60.8436593275
37,62.2782532368
38,63.712847146
39,65.2918367347
40,66.5820349645
41,68.2396825397
42,69.53561066
43,71.0545924463
44,72.7423499866
45,74.1897959184
46,75.7803135591
47,77.2149074684
48,78.7338892546
49,80.3712018141
50,81.7718528272
51,83.2908346134
52,84.8473922902
53,86.49757394
54,88.1009436032
55,89.677324263
56,90.9701314217
57,92.320337454
