,time
0,0.0
1,4.09433106576
2,8.05351473923
3,12.3573696145
4,16.5886621315
5,20.883446712
6,25.368707483
7,29.6634920635
8,33.7859410431
9,38.0036281179
10,42.4163265306
11,46.5160997732
12,50.8607709751
13,55.0421768707
14,59.2870748299
15,63.5682539683
16,68.2802721088
17,72.8335600907
18,77.3732426304
19,81.6498866213
20,85.5954648526
21,89.8630385488
22,94.2712018141
23,98.2439909297
24,102.339229025
25,106.751927438
26,110.951473923
27,115.087528345
28,119.386848073
29,123.61814059
30,127.999092971
