,time
0,0.320634920635
1,4.15039133933
2,9.24580498866
3,13.2812522859
4,18.2253968254
5,22.1936507937
6,26.4476190476
7,30.7128959111
8,35.0099773243
9,38.8603174603
10,42.7514739229
11,46.4843830005
12,50.8285714286
13,55.6494331066
14,59.4889425304
15,63.6393338697
16,68.4022675737
17,73.3235803282
18,78.3040499354
19,82.4544412747
20,87.3546485261
21,91.6358276644
22,95.1823080487
23,100.162777656
24,105.143247263
25,109.293638602
26,114.937414966
27,119.254577817
28,124.089342404
29,128.385438763
30,132.812522859
31,136.962914198
32,141.943383805
33,145.817082389
34,151.023582766
35,155.224636091
36,160.946485261
37,166.845731841
38,171.549508692
39,177.360056567
40,184.511111111
41,188.973696145
42,193.408236413
43,200.107482993
44,205.454421769
45,210.00980177
46,216.511111111
47,220.800819252
48,227.032653061
49,232.145222247
50,236.848999098
51,242.202721088
52,245.979860044
53,250.960329652
54,256.217492015
55,261.197961622
56,266.455123985
57,272.411337868
58,277.726530612
59,281.673225563
60,287.749206349
61,292.638095238
62,298.365986395
63,302.148489503
