,time
0,0.0
1,4.00816326531
2,8.39365079365
3,11.8403628118
4,16.0807256236
5,20.4299319728
6,24.5206349206
7,28.0399092971
8,32.2258503401
9,36.1623582766
10,40.2848072562
11,44.4390022676
12,48.0761904762
13,52.8698412698
14,56.9968253968
15,60.4390022676
16,64.0353741497
17,67.7678004535
18,71.1646258503
19,74.9786848073
20,78.5342403628
21,82.0444444444
22,85.3006802721
23,88.6385487528
24,91.1736961451
25,94.3800453515
26,99.4775510204
27,102.729251701
28,106.085260771
29,109.590929705
30,113.16462585
31,116.597732426
32,121.291609977
33,125.141950113
34,129.219047619
35,133.291609977
36,136.797278912
37,140.289342404
38,143.890249433
39,148.819954649
40,152.089795918
41,155.844897959
42,159.840362812
43,163.151020408
44,166.370975057
45,169.840362812
46,173.844897959
47,178.343764172
48,182.289342404
49,186.53877551
50,190.157823129
51,194.166893424
52,198.293877551
53,201.359637188
54,205.110204082
55,208.738321995
56,212.429931973
57,216.448072562
58,220.248526077
59,223.58185941
60,227.014965986
61,230.901587302
62,234.615873016
63,238.488888889
64,242.606802721
65,246.493424036
66,250.058049887
67,253.432199546
68,256.878911565
69,260.461678005
70,264.570521542
71,268.697505669
72,272.95600907
73,276.992290249
74,279.758730159
75,283.640816327
76,287.863038549
77,291.187301587
