,time
0,1.38231292517
1,5.94013605442
2,10.4344671202
3,14.6975056689
4,18.8698412698
5,23.6
6,28.2712018141
7,32.756462585
8,37.4049886621
9,42.0308390023
10,47.0784580499
11,51.6
12,55.8448979592
13,62.5297052154
14,67.6498866213
15,72.6204081633
16,77.8766439909
17,83.0240362812
18,88.0535147392
19,92.9560090703
20,97.6680272109
21,103.259863946
22,107.835827664
23,112.293877551
24,116.97414966
25,121.990022676
26,127.07845805
27,132.130612245
28,137.173696145
29,141.649886621
30,146.089795918
31,150.801814059
32,155.395918367
33,160.302947846
34,164.692970522
35,169.486621315
36,173.899319728
37,178.280272109
38,182.97414966
39,190.153287982
40,195.151020408
41,199.327891156
42,203.872108844
43,208.416326531
44,212.756462585
45,217.187301587
46,221.776870748
47,226.470748299
48,230.85170068
49,236.475283447
50,241.336961451
51,245.663492063
52,251.146485261
53,256.021768707
54,261.740589569
55,266.212244898
56,271.187301587
57,275.935600907
58,280.239455782
59,285.568253968
