,time
0,0.361904761905
1,3.9537414966
2,7.69070294785
3,11.3959183673
4,15.0920634921
5,18.7927437642
6,22.4480725624
7,26.2757369615
8,29.8993197279
9,33.6317460317
10,37.4548752834
11,41.3324263039
12,45.241723356
13,49.2009070295
14,53.2054421769
15,56.9922902494
16,60.9696145125
17,65.0240362812
18,68.8244897959
19,72.756462585
20,76.6113378685
21,80.5160997732
22,84.5160997732
23,88.4390022676
24,92.3437641723
25,96.2802721088
26,100.216780045
27,104.003628118
28,108.076190476
29,112.293877551
30,116.384580499
31,120.420861678
32,124.198639456
33,128.257596372
34,131.908390023
35,134.829024943
36,139.70430839
