,time
0,0.0673469387755
1,3.61836734694
2,8.33945578231
3,13.0832199546
4,17.4596371882
5,21.6909297052
6,26.1263038549
7,30.4210884354
8,34.8473922902
9,38.879138322
10,43.110430839
11,47.6682539683
12,51.8678004535
13,55.9675736961
14,60.5707482993
15,64.856462585
16,69.0378684807
17,73.3235827664
18,77.5367346939
19,81.4006802721
20,84.9698412698
21,89.237414966
22,93.0287981859
23,96.879138322
24,101.414285714
25,105.49138322
26,109.659183673
27,113.976643991
28,118.23968254
29,122.833786848
30,127.305442177
31,131.849659864
32,136.484580499
33,140.55260771
34,144.22154195
35,148.294104308
36,151.650113379
