,time
0,0.0802721088435
1,3.80362811791
2,6.8784856834
3,10.7424036281
4,14.1936507937
5,17.6857142857
6,21.1777777778
7,24.787755102
8,28.370521542
9,31.5403733775
10,35.5088435374
11,38.8421768707
12,42.2163265306
13,46.1361844618
14,49.7537414966
15,53.0146701452
16,56.4068027211
17,60.0031746032
18,63.3818594104
19,67.4136054422
20,70.787755102
21,75.1868480726
22,78.2888888889
23,82.1120181406
24,85.5995464853
25,89.0326530612
26,92.4401368672
27,96.4665675111
28,100.016780045
29,103.536054422
30,107.232199546
31,110.746938776
32,114.424943311
33,117.605328392
34,121.545124717
35,125.032653061
36,128.342476776
37,132.13015873
38,136.257142857
39,139.155102041
40,143.123356009
41,146.932879819
42,150.987301587
43,154.465759637
44,157.953287982
45,161.517913832
46,165.372789116
47,169.200453515
48,172.955555556
49,176.597278912
50,180.452154195
51,184.638095238
