,time
0,1.8358276644
1,6.96054421769
2,12.8517006803
3,18.6113378685
4,23.9083900227
5,29.6544217687
6,34.4707482993
7,40.4616780045
8,46.2757369615
9,52.2666666667
10,57.5727891156
11,63.2780045351
12,68.4888888889
13,73.6453514739
14,78.3703478165
15,84.3074829932
16,89.8721088435
17,95.5047619048
18,100.892517007
19,106.370975057
20,112.01723356
21,117.622675737
22,123.350566893
23,128.384580499
24,133.223582766
25,137.636281179
26,142.22585034
27,147.132879819
28,152.030839002
29,157.241723356
30,162.33015873
31,166.865306122
32,171.999092971
33,176.792743764
34,182.316553288
35,187.921995465
36,193.137414966
