,time
0,0.672401191882
1,5.79977324263
2,10.3101516089
3,14.9925170068
4,20.1943310658
5,25.7498866213
6,30.8065759637
7,36.879138322
8,41.8405895692
9,46.901814059
10,52.2804988662
11,57.1541013099
12,63.1421768707
13,69.0650793651
14,74.0446712018
15,78.9471655329
16,84.0501489852
17,89.2052247896
18,94.1361668634
19,99.7395101291
20,104.815646259
21,109.690929705
22,115.210204082
23,119.911545886
24,125.101360544
25,130.221697494
26,136.189795918
27,140.980116565
28,146.525396825
29,151.722675737
30,157.214739229
31,162.312244898
32,167.323582766
33,171.68643766
34,177.455102041
35,182.457369615
36,187.514058957
37,192.755008339
38,198.616099773
39,203.51342741
40,209.523129252
41,214.203401361
42,219.541269841
43,224.770294785
44,230.266893424
45,235.214739229
46,240.693197279
47,245.68185941
48,251.07414966
49,256.511791383
50,261.736281179
51,267.17845805
52,272.421088435
53,278.021995465
54,282.625170068
55,287.872335601
56,292.94278593
57,298.593424036
58,303.252937539
59,309.273696145
60,314.044671202
61,319.390566144
62,325.799773243
63,330.373118945
