,time
0,0.262358276644
1,3.79523809524
2,7.14671201814
3,10.520861678
4,14.0492063492
5,17.5412698413
6,20.9426303855
7,24.1444444444
8,27.4505668934
9,30.8065759637
10,34.1897959184
11,37.6501133787
12,40.7839002268
13,43.7907029478
14,47.1965986395
15,50.5253968254
16,53.7
17,57.006122449
18,60.3802721088
19,63.3462585034
20,66.5390022676
21,69.7453514739
22,72.9108843537
23,75.6944064084
24,78.8746031746
25,82.0083900227
26,85.2510204082
27,88.6433106576
28,91.6274376417
29,95.0287981859
30,97.6509551932
31,100.874603175
32,103.899546485
33,106.897278912
34,110.230612245
35,113.223809524
36,116.353061224
37,119.169387755
38,122.303174603
39,125.328117914
40,128.321315193
41,131.296371882
42,134.235147392
43,137.105895692
44,140.112698413
45,143.278231293
46,146.021995465
47,149.201133787
48,151.999319728
49,155.309977324
50,158.176190476
51,161.164852608
52,163.940362812
53,166.942630385
54,169.722675737
55,172.212471655
56,174.657981366
57,178.289569161
58,180.806575964
59,183.408779795
60,186.806575964
61,189.454785982
62,192.511791383
63,195.482312925
64,197.887373558
65,201.069482078
66,204.339455782
67,207.128571429
68,210.108163265
69,212.838321995
70,215.690929705
71,219.350793651
72,222.180725624
73,225.241950113
74,228.55260771
75,231.137641723
76,233.840589569
77,236.661451247
78,239.849659864
79,242.906349206
80,246.443764172
81,250.130839002
82,253.341723356
83,256.811111111
84,260.099092971
85,263.858730159
86,267.68185941
87,270.96984127
