,time
0,0.0
1,4.28911564626
2,8.96485260771
3,14.0079365079
4,18.7471655329
5,23.7675736961
6,27.9353741497
7,32.2392290249
8,37.1553287982
9,42.2709750567
10,47.014739229
11,51.7040816327
12,56.6337868481
13,61.3231292517
14,66.4433106576
15,71.373015873
16,76.2029478458
17,81.2505668934
18,86.3163265306
19,92.066893424
20,96.7743764172
21,101.654195011
22,106.14399093
23,110.892290249
24,115.817460317
25,120.416099773
26,125.29138322
27,129.912698413
28,134.43877551
29,139.214285714
30,144.012471655
31,148.565759637
32,153.041950113
33,157.30952381
34,161.62244898
35,166.053287982
36,170.465986395
37,174.987528345
38,179.132653061
39,183.649659864
40,187.62244898
41,191.985260771
42,196.602040816
43,200.760770975
44,205.010204082
45,209.681405896
46,213.649659864
47,218.66553288
48,222.824263039
49,227.037414966
50,231.041950113
51,235.422902494
52,239.781179138
53,243.740362812
54,248.094104308
55,252.407029478
56,256.719954649
57,261.08276644
58,265.246031746
59,269.400226757
