,time
0,1.19206349206
1,3.00811937678
2,5.18752834467
3,6.9317533465
4,9.2283446712
5,11.1169629142
6,12.8292517007
7,14.7790212859
8,16.8882086168
9,18.5718674567
10,20.6644722405
11,22.4955014264
12,24.6115646259
13,26.3537414966
14,28.5117401799
15,30.4735571648
16,32.3045863507
17,34.647845805
18,36.2282203204
19,38.1172335601
20,39.6940969936
21,41.852095677
22,44.2623582766
23,46.752154195
24,48.6530612245
25,50.901814059
26,52.5113012947
27,54.0807548826
28,55.7809962695
29,57.722675737
30,59.4430546412
31,61.1648526077
32,62.843537415
33,64.8053543998
34,66.3094140882
35,68.6433106576
36,70.3638358569
