,time
0,0.0582766439909
1,4.44376417234
2,8.85646258503
3,13.7634920635
4,18.6841269841
5,23.3371882086
6,27.9766439909
7,32.4573696145
8,37.0424036281
9,41.5684807256
10,46.520861678
11,50.856462585
12,54.7839002268
13,58.7249433107
14,63.3281179138
15,67.8768707483
16,72.1988662132
17,76.9471655329
18,80.8972789116
19,85.3916099773
20,89.9947845805
21,94.3621315193
22,98.9335600907
23,103.867800454
24,107.650113379
25,111.495918367
26,115.89047619
27,120.235147392
28,124.516326531
29,129.169387755
30,134.044671202
31,138.539002268
32,142.965306122
33,147.16031746
34,151.713605442
35,156.44829932
