,time
0,0.144217687075
1,4.38458049887
2,8.16689342404
3,12.4117913832
4,16.2031746032
5,19.8993197279
6,23.1918367347
7,26.6340136054
8,30.5160997732
9,34.3437641723
10,38.3210884354
11,41.980952381
12,45.5410430839
13,48.756462585
14,52.3755102041
15,56.3664399093
16,59.8494331066
17,63.6725623583
18,67.7587301587
19,70.987755102
20,74.1986394558
21,77.9900226757
22,81.9219954649
23,85.3732426304
24,88.7655328798
25,92.1260770975
26,95.5909297052
27,99.4321995465
28,103.005895692
29,106.702040816
30,110.289342404
31,114.175963719
32,117.926530612
33,121.023809524
34,124.860770975
35,128.271201814
36,131.645351474
37,135.128344671
38,138.507029478
39,142.402721088
40,145.994557823
41,149.554648526
42,152.919727891
43,156.470748299
44,159.980952381
45,163.799546485
46,167.47755102
47,171.123809524
48,174.66122449
49,178.611337868
50,181.822222222
51,185.649886621
52,188.6430839
53,192.511564626
54,195.459410431
55,198.992290249
56,202.312018141
57,206.058049887
58,209.28707483
59,212.193548387
60,215.509297052
61,218.529705215
62,221.423129252
63,225.191836735
