,time
0,0.221315192744
1,4.04897959184
2,8.21224489796
3,12.8970521542
4,17.4049886621
5,21.5183673469
6,25.3414965986
7,28.987755102
8,33.1918367347
9,37.033106576
10,41.1283446712
11,45.9038548753
12,50.2666666667
13,55.5682539683
14,59.958276644
15,64.2984126984
16,69.010430839
17,73.6408163265
18,78.801814059
19,84.0988662132
20,89.4140589569
21,95.5546485261
22,101.445804989
23,106.729251701
24,111.518367347
25,117.051247166
26,121.935600907
27,126.584126984
28,131.658956916
29,136.230385488
30,140.366439909
31,144.942403628
32,150.094331066
33,154.552380952
34,159.028571429
35,163.758730159
36,168.117006803
