,time
0,0.0
1,2.87891156463
2,5.79047619048
3,8.49795918367
4,11.5637188209
5,14.5886621315
6,17.6362811791
7,20.6839002268
8,23.5410430839
9,26.3845804989
10,29.4367346939
11,32.5387755102
12,35.622675737
13,39.2371882086
14,42.2575963719
15,45.1646258503
16,48.1351473923
17,51.2099773243
18,54.3346938776
19,57.4185941043
20,60.4934240363
21,63.5138321995
22,66.4934240363
23,69.2235827664
24,72.2802721088
25,74.9650793651
26,77.9129251701
27,80.8653061224
28,83.7315192744
29,86.4480725624
30,89.0195011338
31,91.8721088435
32,94.5614512472
33,96.883446712
34,99.6090702948
35,102.366439909
36,105.132879819
37,107.577324263
38,110.198639456
39,112.802282203
40,115.232653061
41,117.822222222
42,120.525170068
43,123.128344671
44,125.649886621
45,128.003628118
46,130.715646259
47,133.527437642
48,136.284807256
49,138.874376417
50,141.377777778
51,144.302947846
52,146.806349206
53,149.123809524
54,151.699773243
55,154.085260771
56,156.370975057
57,158.275702216
58,160.566998574
59,162.858294931
60,165.341496599
61,167.70430839
62,170.185034014
63,172.838095238
