,time
0,0.0
1,4.54807256236
2,10.4256235828
3,16.1807256236
4,21.6682539683
5,27.1739229025
6,32.9199546485
7,38.4301587302
8,43.6727891156
9,48.9925170068
10,54.7430839002
11,60.3439909297
12,65.4823129252
13,71.1376417234
14,75.953968254
15,81.573015873
16,87.2056689342
17,92.9517006803
18,98.1444444444
19,103.514058957
20,108.616099773
21,113.087755102
22,117.749886621
23,121.904081633
24,126.511791383
25,131.89047619
26,136.95170068
27,141.650113379
28,146.198866213
29,151.641043084
30,156.543537415
31,161.831519274
32,166.938095238
33,171.618367347
34,176.539002268
35,181.591156463
36,186.874603175
37,192.874603175
38,198.752154195
39,204.266893424
40,209.015192744
41,214.071882086
42,219.573015873
43,225.07414966
44,230.094557823
45,234.402947846
46,238.7430839
47,243.545804989
48,249.087755102
49,255.214739229
50,260.484580499
51,265.650113379
52,271.677324263
53,276.466439909
54,281.219274376
55,286.466439909
56,291.967573696
57,296.838321995
58,302.339455782
59,307.713605442
60,313.255555556
61,318.883673469
62,324.806575964
63,329.214739229
64,333.972108844
65,338.412018141
66,343.659183673
67,348.529931973
68,352.870068027
69,357.523129252
70,363.382539683
71,368.44829932
72,373.704535147
73,377.545804989
74,380.752154195
75,385.16031746
76,390.6569161
77,394.539002268
