,time
0,0.216780045351
1,3.37324263039
2,6.17596371882
3,8.86984126984
4,11.7405895692
5,14.6113378685
6,17.2870748299
7,20.0807256236
8,22.8199546485
9,25.6725623583
10,28.6022675737
11,31.4321995465
12,34.293877551
13,37.1736961451
14,40.166893424
15,43.0829931973
16,45.9900226757
17,48.9424036281
18,51.8902494331
19,54.7655328798
20,57.7405895692
21,60.6657596372
22,63.5591836735
23,66.2303854875
24,69.0920634921
25,71.9764172336
26,74.674829932
27,77.6544217687
28,80.4707482993
29,83.368707483
30,86.2031746032
31,89.0920634921
32,92.0671201814
33,95.0421768707
34,97.8675736961
35,100.507029478
36,103.30521542
37,106.157823129
38,109.001360544
39,111.840362812
40,114.611337868
41,117.318820862
42,120.153287982
43,123.014965986
44,125.835827664
45,128.702040816
46,131.577324263
47,134.448072562
48,137.332426304
49,140.085260771
50,142.906122449
51,145.527437642
52,148.112471655
53,150.656689342
54,153.414058957
55,156.148752834
56,158.838095238
57,161.40952381
58,164.112471655
59,166.933333333
60,169.622675737
61,172.271201814
62,174.878911565
63,177.404988662
