,time
0,0.493197278912
1,4.64285714286
2,8.46598639456
3,12.3616780045
4,16.2619047619
5,20.112244898
6,23.70861678
7,27.7494331066
8,31.4365079365
9,35.4183673469
10,39.2233560091
11,43.0963718821
12,46.6882086168
13,50.0170068027
14,53.522675737
15,57.164399093
16,60.8242630385
17,64.8832199546
18,68.4569160998
19,72.0124716553
20,75.6496598639
21,79.4410430839
22,83.1326530612
23,86.7970521542
24,90.3934240363
25,94.298185941
26,98.112244898
27,101.930839002
28,105.422902494
29,109.468253968
30,113.132653061
31,116.765306122
32,120.298185941
33,124.325396825
34,127.998866213
35,131.404761905
36,134.905895692
37,138.787981859
38,142.660997732
39,146.933106576
40,150.434240363
41,154.048752834
42,157.758503401
43,161.513605442
44,164.878684807
45,168.574829932
46,172.402494331
47,175.81292517
48,179.676870748
49,183.676870748
50,187.232426304
51,191.046485261
52,194.597505669
53,198.329931973
54,202.860544218
55,206.642857143
56,210.402494331
57,214.02154195
58,218.134920635
59,221.744897959
60,225.436507937
61,229.087301587
62,232.538548753
63,236.452380952
