,time
0,1.40068027211
1,4.74308390023
2,7.91768707483
3,11.341723356
4,14.2487528345
5,17.6637188209
6,20.7068027211
7,23.5911564626
8,26.5072562358
9,29.6455782313
10,32.4845804989
11,35.3235827664
12,38.2986394558
13,41.3462585034
14,44.2215419501
15,47.1421768707
16,50.2079365079
17,53.2464852608
18,56.1671201814
19,59.3507936508
20,62.2850340136
21,65.3462585034
22,68.4256235828
23,71.4505668934
24,74.4392290249
25,77.2691609977
26,80.4210884354
27,83.6047619048
28,86.7566893424
29,90.0219954649
30,93.0197278912
31,95.7680272109
32,98.4437641723
33,101.114965986
34,103.99478458
35,106.76122449
36,109.695464853
37,112.63877551
38,115.573015873
39,118.607029478
