,time
0,0.0
1,4.00839002268
2,7.90861678005
3,12.4074829932
4,16.4301587302
5,20.9244897959
6,25.3371882086
7,29.9721088435
8,34.3077097506
9,38.6841269841
10,43.3054421769
11,47.8088435374
12,51.7
13,56.6206349206
14,61.446031746
15,65.953968254
16,70.8292517007
17,75.8814058957
18,80.3802721088
19,85.0106575964
20,89.7544217687
21,94.6433106576
22,99.2691609977
23,103.849659864
24,108.062811791
25,112.806575964
26,117.015192744
27,121.768027211
28,126.647845805
29,131.396145125
30,136.021995465
31,140.647845805
32,145.26462585
33,149.89047619
34,154.516326531
35,159.142176871
36,162.929024943
37,167.241950113
38,171.631972789
39,175.641043084
40,180.393877551
41,185.006122449
42,189.768027211
43,194.507256236
44,198.897278912
45,203.641043084
46,208.389342404
47,213.350793651
48,218.103628118
49,222.729478458
50,227.350793651
51,231.981179138
52,236.734013605
53,241.359863946
54,245.976643991
55,250.475510204
56,255.223809524
57,259.981179138
58,264.602494331
59,269.477777778
60,274.230612245
61,278.84739229
62,283.477777778
63,288.226077098
64,293.981179138
65,299.854195011
66,304.602494331
67,309.228344671
68,314.099092971
69,318.602494331
70,323.105895692
71,327.731746032
72,332.226077098
73,335.337188209
74,338.498185941
75,341.940362812
76,345.586621315
77,349.373469388
