,time
0,0.561451247166
1,5.10113378685
2,9.31860629556
3,14.5024943311
4,19.3233560091
5,24.3709750567
6,29.1873015873
7,33.6034590658
8,39.6045351474
9,44.3339754062
10,50.2712018141
11,55.39138322
12,59.7088435374
13,64.6476190476
14,69.9945578231
15,74.8063492063
16,78.9741496599
17,84.420861678
18,90.3619047619
19,94.9832199546
20,99.9632311706
21,105.328489341
22,109.985487528
23,115.137414966
24,120.293877551
25,125.418594104
26,131.064852608
27,135.454875283
28,140.443537415
29,145.622675737
30,150.74739229
31,155.427664399
32,160.792743764
33,164.628711222
34,170.479818594
35,175.237188209
36,180.130612245
37,185.155555556
38,190.611337868
39,195.137414966
40,199.604535147
41,203.459410431
42,207.958276644
43,212.729251701
44,218.062585034
45,221.990022676
46,226.484353741
47,231.278004535
48,236.398185941
49,240.878911565
50,245.740589569
51,250.969614512
52,255.6861678
53,260.103401361
54,264.883446712
55,270.302947846
56,274.892517007
57,279.835827664
58,284.702040816
59,290.162358277
60,296.194104308
61,299.799546485
62,305.259863946
63,311.160090703
