,time
0,1.44415591804
1,3.37800453515
2,5.43002625184
3,7.27854582693
4,9.30997732426
5,11.2644161607
6,13.2736961451
7,15.2502864945
8,17.0988060696
9,19.1783905916
10,21.0269101667
11,23.1920634921
12,25.3016116841
13,27.4389624428
14,29.5503401361
15,31.54036525
16,33.6365079365
17,35.8150667674
18,37.8368850527
19,39.6854046278
20,41.7272108844
21,44.0446712018
22,46.2129893774
23,48.1192751892
24,50.1988597111
25,52.2487528345
26,54.1847300449
27,56.1444444444
28,58.2283666155
29,60.192418664
30,62.3077097506
