,time
0,0.425623582766
1,4.29863945578
2,8.21700680272
3,11.9902494331
4,15.7770975057
5,19.5276643991
6,23.341723356
7,27.214739229
8,30.9471655329
9,34.5934240363
10,38.1444444444
11,41.8451247166
12,45.3734693878
13,48.8519274376
14,52.5843537415
15,56.1217687075
16,59.7408163265
17,63.3099773243
18,66.9335600907
19,70.7204081633
20,74.5662131519
21,78.0945578231
22,81.6591836735
23,85.2555555556
24,88.7657596372
25,92.2034013605
26,95.7453514739
27,99.3054421769
28,102.470975057
29,106.008390023
30,109.400680272
31,112.439229025
32,115.990249433
33,119.337188209
34,122.634240363
35,126.180725624
36,129.504988662
37,132.95170068
38,136.207936508
39,139.47324263
40,142.634240363
41,145.999319728
42,149.251020408
43,152.475510204
44,155.840589569
45,158.956235828
46,162.230612245
47,165.554875283
48,168.688662132
49,171.940362812
50,175.26462585
51,178.661451247
52,181.863265306
53,185.269160998
54,188.647845805
55,191.972108844
56,195.228344671
57,198.443764172
58,201.876870748
59,205.251020408
60,208.493650794
61,212.01292517
62,215.563945578
63,219.028798186
64,222.345688996
65,225.71814059
66,229.17845805
67,232.7430839
68,236.334920635
69,240.062811791
70,243.400061618
71,246.929024943
72,250.611564626
73,254.475510204
74,258.207936508
75,261.749886621
76,266.511791383
77,270.194331066
78,273.840589569
79,277.50952381
80,281.409750567
81,285.015192744
82,288.588888889
83,292.76122449
84,295.845124717
85,299.409750567
86,302.892743764
87,306.234204911
