,time
0,0.29387755102
1,5.05124716553
2,9.89931972789
3,14.6385487528
4,19.5863945578
5,24.3619047619
6,29.2009070295
7,33.9945578231
8,38.5523809524
9,43.3732426304
10,47.9446712018
11,52.6793650794
12,57.2961451247
13,61.9718820862
14,66.6657596372
15,71.3097505669
16,76.062585034
17,80.6340136054
18,85.577324263
19,90.3709750567
20,95.2507936508
21,100.048979592
22,104.969614512
23,109.30521542
24,113.563718821
25,117.795011338
26,122.439002268
27,127.214512472
28,132.24399093
29,137.033106576
30,141.835827664
31,146.457142857
32,151.064852608
33,155.473015873
34,160.12154195
35,164.937868481
36,169.781405896
37,174.53877551
38,179.30521542
39,183.867573696
40,188.552380952
41,193.550113379
42,198.5569161
43,203.681632653
44,208.575056689
45,213.450340136
46,218.298412698
47,223.114739229
48,228.062585034
49,232.960544218
50,237.486621315
51,242.516099773
52,247.237188209
53,252.198639456
54,257.07845805
55,261.908390023
56,266.810884354
57,271.708843537
58,276.475283447
59,281.178231293
60,285.926530612
61,290.66122449
62,295.695238095
63,300.547845805
64,305.255328798
65,309.93106576
66,314.856235828
67,319.531972789
68,324.117006803
69,328.543310658
70,333.18276644
71,337.681632653
72,341.876643991
73,345.799546485
74,349.844897959
75,353.917460317
76,357.999092971
77,362.126077098
