,time
0,0.0
1,4.16712018141
2,8.92448979592
3,13.6727891156
4,18.4210884354
5,23.1693877551
6,27.9176870748
7,31.7136054422
8,35.6546485261
9,39.4777777778
10,43.4052154195
11,47.4551020408
12,51.2056689342
13,55.2510204082
14,59.0197278912
15,63.2419501134
16,67.319047619
17,71.4868480726
18,75.4732426304
19,79.49138322
20,83.5049886621
21,87.6637188209
22,92.1172335601
23,96.0129251701
24,99.7317460317
25,103.47324263
26,107.455102041
27,111.768027211
28,116.412018141
29,120.829251701
30,124.693197279
31,128.829251701
32,132.557142857
33,136.711337868
34,140.883673469
35,145.110430839
36,149.151247166
37,153.314512472
38,157.441496599
39,161.831519274
40,165.350793651
41,169.065079365
42,173.409750567
43,177.083219955
44,180.6569161
45,184.307709751
46,188.652380952
47,192.611564626
48,196.466439909
49,201.128571429
50,204.820181406
51,208.285034014
52,211.885941043
53,214.942630385
54,218.171655329
55,221.885941043
56,225.337188209
57,228.942630385
58,232.978911565
59,237.223809524
60,241.278231293
61,245.151247166
62,249.092290249
63,253.323582766
64,257.124036281
65,260.661451247
66,263.922222222
67,267.57755102
68,270.783900227
69,274.729478458
70,278.511791383
71,282.34399093
72,285.845124717
73,290.443764172
74,293.609297052
75,297.414285714
76,300.938095238
77,305.024263039
