,time
0,1.06961451247
1,3.2601898585
2,5.22860637684
3,7.21473922902
4,9.53451751071
5,11.7589569161
6,13.5943765798
7,15.1937150009
8,17.2851575517
9,19.3150870862
10,21.6525817017
11,23.3134331391
12,25.1013605442
13,26.8811880786
14,28.6650655483
15,30.2028909533
16,31.986768423
17,33.524593828
18,35.5775510204
19,37.1538617837
20,38.9377392534
21,40.660103707
22,42.3209551443
23,44.2532879819
24,45.8887100838
25,47.8768707483
26,49.4564650233
27,51.1173164606
28,52.778167898
29,54.7022675737
30,56.0383577565
31,58.0265306122
32,59.4830866636
33,61.2054511171
34,63.2968936679
35,65.1603174603
36,66.8646486074
