,env_delta,env_max,env_mean,env_std,time
0,12.4164875736,-28.8697872825,-31.5759180505,1.70102812269,3.14049886621
1,12.6632892583,-28.6229855978,-34.4185980128,3.57567396645,9.1370521542
2,13.7356394812,-27.5506353749,-32.0764134324,3.84062949524,14.5763265306
3,12.9644548583,-28.3218199978,-32.548323703,3.48935251768,20.7063945578
4,17.2220088462,-24.0642660099,-31.3157586477,3.97144288097,26.4997732426
5,20.7652425337,-20.5210323224,-26.409150216,3.46468635816,32.3395918367
6,12.5729754815,-28.7132993746,-34.4936305211,3.31394074698,38.365170068
7,14.6894678276,-26.5968070286,-32.4551817814,3.63232124738,44.2978684807
8,15.9793656847,-25.3069091715,-31.0573905378,3.58400336036,50.4511564626
9,13.6113752954,-27.6748995607,-31.3522216747,3.39772756377,56.1864852608
10,16.0086872027,-25.2775876535,-29.9413255843,3.53113600918,62.316553288
11,20.1506730832,-21.135601773,-26.1870371578,4.33391390741,68.0809070295
