,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,12.4245193156,-27.1292006259,-31.2365867153,1.50796734525,1.49188208617
1,1,10.1608085331,-29.3929114084,-32.6666585759,1.57204816635,6.67573696145
2,2,11.9170506764,-27.6366692652,-30.0607672972,1.31930497944,12.4458956916
3,3,10.4304956404,-29.1232243011,-31.9764358331,1.83981820974,16.4861678005
4,4,10.0967966189,-29.4569233227,-31.9074746541,1.16138265704,21.4436281179
5,5,9.09551099215,-30.4582089494,-33.773265432,1.49685363416,25.8147845805
6,6,13.7866575468,-25.7670623948,-27.4998483319,0.7838169602,30.5748752834
7,7,14.258619859,-25.2951000825,-26.9687141841,0.772534543759,34.998276644
8,8,15.0179805588,-24.5357393827,-26.5688294324,1.06155981562,39.2010884354
9,9,10.7678570617,-28.7858628798,-30.2681342541,0.758007753489,43.9205442177
