,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0.0,16.6968318194,-27.9957951103,-44.1959413374,2.77056991133,1.89823129252
1,1.0,18.3841034784,-26.3085234514,-44.0150092428,3.12324378736,5.81079365079
2,2.0,16.3364393682,-28.3561875616,-44.2846729213,2.61260840462,9.58403628118
3,3.0,12.4073550277,-32.2852719021,-44.5846989645,1.64941014308,13.5604535147
4,4.0,3.00365200119,-41.6889749286,-44.9252041183,0.335672637253,17.9954648526
5,,,,,,21.4935873991
6,,,,,,25.1922926877
7,,,,,,28.9731914271
8,,,,,,32.795186892
9,,,,,,36.534988906
10,,,,,,40.27479092
11,,,,,,44.0556896594
