,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,6.98751079689,-35.9537895809,-40.3435147576,1.90417628947,7.35492063492
1,1,14.3562604339,-28.5850399439,-35.5353687299,3.88188329536,16.5442176871
2,2,14.3432473418,-28.598053036,-36.9016394215,3.67542400141,24.8453514739
3,3,13.0669352454,-29.8743651324,-37.258574222,4.05802298415,32.6762811791
4,4,8.56567413668,-34.3756262411,-39.6390954594,2.46607358512,39.7177324263
5,5,7.55618793904,-35.3851124387,-38.6834559024,1.97887124408,46.9333333333
6,6,10.7823415473,-32.1589588305,-37.2678230906,2.79594835194,53.7309750567
7,7,13.6533974667,-29.2879029111,-34.6864165494,3.06581828094,61.0220408163
8,8,12.9549833621,-29.9863170156,-34.5593804735,3.00756005563,67.7906575964
9,9,13.8818511895,-29.0594491882,-35.1854053128,3.35994532586,74.3386848073
10,10,15.0808781502,-27.8604222276,-33.9243038836,3.33345608337,81.2988662132
11,11,14.099299001,-28.8420013768,-36.289601835,3.80546121166,87.2663945578
