,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,9.38230328939,-28.8157532825,-30.8429732273,1.11963199582,2.98376417234
1,1,9.09231802177,-29.1057385501,-30.9864369733,1.0313745562,10.9307936508
2,2,7.87589513015,-30.3221614418,-32.0846931336,0.903052755775,19.1854875283
3,3,11.2136476168,-26.9844089551,-28.2332459043,0.882188377448,27.6549659864
4,4,10.9541275435,-27.2439290284,-28.213242823,0.708143395857,36.0489795918
5,5,10.9830009835,-27.2150555884,-27.945164583,0.561957286719,44.326893424
6,6,9.78328979522,-28.4147667767,-29.356258666,0.654967640409,52.7034920635
7,7,10.1195671651,-28.0784894068,-29.123477121,1.007433925,61.2948752834
8,8,14.4675662515,-23.7304903204,-24.3890165332,0.778872441114,70.0894331066
9,9,14.419174924,-23.7788816479,-24.3819385314,0.554748646923,78.5066666667
10,10,13.5013520073,-24.6967045646,-25.4337536024,0.667361302234,87.3476643991
11,11,12.2989070481,-25.8991495238,-27.1169161355,0.683291272304,96.9375056689
