,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0.0,4.76940761439,-39.850798656,-43.7763117925,0.717511433993,1.75891156463
1,1,1.0,7.19495057528,-37.4252556951,-42.0559980308,1.31606533448,6.2229478458
2,2,2.0,4.63295940105,-39.9872468693,-43.592881751,0.77507843791,11.9118367347
3,3,3.0,7.64430611714,-36.9759001532,-43.4542759244,1.47365220152,27.1847619048
4,4,4.0,3.85899343207,-40.7612128383,-44.0520766177,0.773362879704,30.8535147392
5,5,5.0,6.69390857993,-37.9262976904,-43.8833351868,1.29963006233,35.1956462585
6,6,6.0,10.5648639161,-34.0553423542,-42.9570565113,2.97320438798,40.3504761905
7,7,7.0,4.87283853895,-39.7473677314,-44.097632149,1.21425630191,44.1411337868
8,8,,,,,,17.7760872569
9,9,,,,,,22.3716098148
10,10,,,,,,49.086240948
11,11,,,,,,53.3282617707
