,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0.0,16.2718437674,-27.8710907449,-40.1200141796,3.4952806954,2.01433106576
1,1,1.0,10.2136180993,-33.9293164131,-42.4015472457,2.27998414449,7.83092970522
2,2,2.0,12.9299361702,-31.2129983422,-41.4225125661,2.92185167476,13.3166439909
3,3,3.0,12.1573119109,-31.9856226015,-42.9995145704,2.24612106307,19.6614965986
4,4,4.0,12.6134635334,-31.5294709789,-42.7617512572,2.48427895163,25.7393197279
5,5,5.0,15.0531395205,-29.0897949919,-40.817707279,3.77540407729,31.54430839
6,6,6.0,9.36384885075,-34.7790856616,-43.1332498091,2.12021863625,36.5191836735
7,7,7.0,15.8407338388,-28.3022006736,-42.3882353131,3.33470575546,40.7858503401
8,8,8.0,7.64425768619,-36.4986768262,-43.8029448232,1.51815471208,51.0142403628
9,9,9.0,9.36953023614,-34.7734042762,-43.7352919323,1.79750677243,59.9539229025
10,10,,,,,,45.9698063216
11,11,,,,,,55.4009582328
