,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0.0,7.00211402996,-35.5121755119,-37.6747384527,1.10655505966,2.14784580499
1,1,1.0,4.10948968818,-38.4047998536,-40.6354047577,0.97597167606,8.58557823129
2,2,2.0,5.07595868512,-37.4383308567,-39.594410476,1.12038360876,13.9784126984
3,3,3.0,3.84395736554,-38.6703321763,-40.3155447653,0.733806925782,19.2841723356
4,4,4.0,3.39730640535,-39.1169831365,-41.2655071534,0.91413909152,30.3891156463
5,5,5.0,6.24492246357,-36.2693670783,-37.7163289157,0.732271800821,35.7413151927
6,6,6.0,11.1401082806,-31.3741812613,-34.4154828438,2.97020177504,40.994829932
7,7,7.0,10.2075399853,-32.3067495565,-35.5962409173,1.75312242536,46.6082539683
8,8,8.0,10.9098745673,-31.6044149745,-34.7137161806,2.44256256695,52.4074376417
9,9,,,,,,25.1164061802
10,10,,,,,,57.737473484
11,11,,,,,,63.1238834841
