,env_delta,env_max,env_mean,env_std,time
0,12.5075391939,-28.8207174978,-32.3898733937,1.60652958185,6.54222222222
1,18.5761147133,-22.7521419784,-30.8114612899,4.51031425333,13.8797278912
2,14.4680436657,-26.860213026,-33.0703300023,3.0859044391,20.6541496599
3,11.8203125009,-29.5079441908,-36.178776289,3.21703196026,26.9641723356
4,11.5315160342,-29.7967406575,-34.8657803525,2.53021481181,32.867845805
5,13.0816507092,-28.2466059825,-32.2560443921,3.2485254191,38.7715192744
6,20.2891224677,-21.039134224,-26.1675932913,4.28808558275,45.4646712018
7,13.8651582715,-27.4630984202,-32.3826861389,3.124174086,51.6702040816
8,18.8881458151,-22.4401108766,-31.0211355909,4.83431927217,58.1485714286
9,21.4941806418,-19.8340760499,-29.3500303184,4.95896617958,64.1451247166
10,18.34184928,-22.9864074117,-29.1352124194,4.18311726823,71.3491156463
11,21.0205453751,-20.3077113166,-27.5756415066,3.62361188753,77.5546485261
